accident_id,location_id,location_name,latitude,longitude,accident_date,accident_time,day_of_week,weather_condition,road_type,traffic_density,vehicle_type,accident_severity,num_casualties,hour,is_weekend,time_of_day,is_rush_hour,month,year,is_adverse_weather
2,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-12-07,07:05:00,Tuesday,Clear,Main Road,Medium,Car,Minor,0,7,False,Morning,False,12,2021,False
13,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-09-10,18:57:00,Tuesday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0,18,False,Evening,True,9,2024,False
20,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-04-19,18:04:00,Saturday,Clear,Main Road,High,Auto-Rickshaw,Serious,3,18,True,Evening,True,4,2025,False
101,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-10-04,08:19:00,Wednesday,Rainy,Chowk/Intersection,High,Auto-Rickshaw,Minor,1,8,False,Morning,True,10,2023,True
125,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-29,10:09:00,Wednesday,Clear,Chowk/Intersection,High,Truck,Minor,1,10,False,Morning,True,5,2024,False
127,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-12,09:00:00,Friday,Clear,Highway,Low,Two-Wheeler,Minor,0,9,False,Morning,True,2,2021,False
270,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-07-16,07:22:00,Sunday,Clear,Residential Road,Medium,Two-Wheeler,Serious,2,7,True,Morning,False,7,2023,False
291,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-13,19:50:00,Thursday,Clear,Chowk/Intersection,Low,Car,Minor,0,19,False,Evening,True,6,2024,False
298,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-01,08:56:00,Friday,Clear,Chowk/Intersection,Low,Car,Minor,1,8,False,Morning,True,1,2021,False
325,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-11-20,09:18:00,Thursday,Clear,Chowk/Intersection,High,Truck,Minor,0,9,False,Morning,True,11,2025,False
343,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-21,08:26:00,Wednesday,Clear,Highway,Medium,Two-Wheeler,Minor,1,8,False,Morning,True,4,2021,False
369,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-08-29,17:42:00,Friday,Clear,Highway,High,Two-Wheeler,Serious,1,17,False,Evening,True,8,2025,False
395,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-13,21:58:00,Friday,Clear,Highway,Medium,Two-Wheeler,Minor,1,21,False,Night,False,8,2021,False
416,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-22,18:14:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0,18,False,Evening,True,3,2023,False
428,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-07-15,17:13:00,Thursday,Clear,Residential Road,Low,Two-Wheeler,Fatal,1,17,False,Evening,True,7,2021,False
482,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-16,09:36:00,Sunday,Rainy,Highway,Medium,Two-Wheeler,Minor,1,9,True,Morning,True,6,2024,True
494,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-25,08:38:00,Thursday,Clear,Chowk/Intersection,Medium,Car,Minor,1,8,False,Morning,True,2,2021,False
502,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-19,08:21:00,Monday,Stormy,Highway,Low,Two-Wheeler,Serious,2,8,False,Morning,True,5,2025,True
505,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-10,08:07:00,Thursday,Clear,Residential Road,Low,Car,Serious,1,8,False,Morning,True,8,2023,False
519,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-11,16:46:00,Tuesday,Rainy,Highway,Medium,Car,Serious,2,16,False,Afternoon,False,5,2021,True
529,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-09-22,16:40:00,Sunday,Clear,Highway,Medium,Two-Wheeler,Minor,1,16,True,Afternoon,False,9,2024,False
544,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-05-28,18:06:00,Sunday,Clear,Chowk/Intersection,High,Auto-Rickshaw,Minor,1,18,True,Evening,True,5,2023,False
590,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-03-12,18:08:00,Wednesday,Clear,Chowk/Intersection,Medium,Car,Serious,1,18,False,Evening,True,3,2025,False
599,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-04-22,06:29:00,Tuesday,Clear,Highway,High,Bus,Minor,0,6,False,Morning,False,4,2025,False
638,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-10-25,08:40:00,Friday,Clear,Residential Road,High,Auto-Rickshaw,Minor,1,8,False,Morning,True,10,2024,False
685,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-12-13,17:08:00,Friday,Clear,Residential Road,Medium,Car,Minor,0,17,False,Evening,True,12,2024,False
883,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-06-29,08:42:00,Sunday,Clear,Main Road,Low,Two-Wheeler,Fatal,2,8,True,Morning,True,6,2025,False
957,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-02,19:16:00,Thursday,Clear,Main Road,High,Auto-Rickshaw,Minor,1,19,False,Evening,True,2,2023,False
967,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-04,19:21:00,Tuesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0,19,False,Evening,True,6,2024,False
1014,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-05,19:59:00,Friday,Clear,Main Road,High,Two-Wheeler,Minor,0,19,False,Evening,True,2,2021,False
1027,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-04-19,07:57:00,Friday,Clear,Main Road,Medium,Car,Minor,0,7,False,Morning,False,4,2024,False
1034,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-09-13,18:16:00,Monday,Clear,Main Road,High,Two-Wheeler,Serious,1,18,False,Evening,True,9,2021,False
1035,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-01-27,19:44:00,Thursday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Serious,3,19,False,Evening,True,1,2022,False
1126,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-17,18:04:00,Friday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0,18,False,Evening,True,5,2024,False
1134,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-13,16:31:00,Tuesday,Clear,Main Road,High,Car,Minor,0,16,False,Afternoon,False,6,2023,False
1169,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-07-04,17:59:00,Thursday,Clear,Main Road,Low,Car,Minor,0,17,False,Evening,True,7,2024,False
1175,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-18,18:20:00,Saturday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0,18,True,Evening,True,11,2023,False
1186,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-28,19:34:00,Wednesday,Clear,Highway,High,Truck,Fatal,1,19,False,Evening,True,5,2025,False
1194,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-08-15,20:55:00,Monday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,1,20,False,Evening,True,8,2022,False
1374,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-10-22,20:16:00,Wednesday,Foggy,Highway,High,Bus,Minor,0,20,False,Evening,True,10,2025,True
1380,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-10-11,16:16:00,Saturday,Clear,Main Road,Medium,Two-Wheeler,Fatal,4,16,True,Afternoon,False,10,2025,False
1392,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-13,18:46:00,Thursday,Rainy,Residential Road,Medium,Auto-Rickshaw,Serious,1,18,False,Evening,True,6,2024,True
1409,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-18,09:46:00,Friday,Clear,Residential Road,High,Auto-Rickshaw,Minor,1,9,False,Morning,True,7,2025,False
1430,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-01-11,07:35:00,Thursday,Clear,Main Road,Low,Car,Serious,3,7,False,Morning,False,1,2024,False
1557,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-12-20,10:45:00,Saturday,Clear,Highway,Medium,Car,Minor,0,10,True,Morning,True,12,2025,False
1609,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-16,17:50:00,Thursday,Clear,Main Road,Low,Two-Wheeler,Minor,0,17,False,Evening,True,11,2023,False
