accident_id,location_id,location_name,latitude,longitude,accident_date,accident_time,day_of_week,weather_condition,road_type,traffic_density,vehicle_type,accident_severity,num_casualties
2,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-12-07,07:05:00,Tuesday,Clear,Main Road,Medium,Car,Minor,0
13,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-09-10,18:57:00,Tuesday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0
20,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-04-19,18:04:00,Saturday,Clear,Main Road,High,Auto-Rickshaw,Serious,3
101,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-10-04,08:19:00,Wednesday,Rainy,Chowk/Intersection,High,Auto-Rickshaw,Minor,1
125,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-29,10:09:00,Wednesday,Clear,Chowk/Intersection,High,Truck,Minor,1
127,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-12,09:00:00,Friday,Clear,Highway,Low,Two-Wheeler,Minor,0
270,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-07-16,07:22:00,Sunday,Clear,Residential Road,Medium,Two-Wheeler,Serious,2
291,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-13,19:50:00,Thursday,Clear,Chowk/Intersection,Low,Car,Minor,0
298,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-01,08:56:00,Friday,Clear,Chowk/Intersection,Low,Car,Minor,1
325,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-11-20,09:18:00,Thursday,Clear,Chowk/Intersection,High,Truck,Minor,0
343,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-21,08:26:00,Wednesday,Clear,Highway,Medium,Two-Wheeler,Minor,1
369,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-08-29,17:42:00,Friday,Clear,Highway,High,Two-Wheeler,Serious,1
395,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-13,21:58:00,Friday,Clear,Highway,Medium,Two-Wheeler,Minor,1
416,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-22,18:14:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
428,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-07-15,17:13:00,Thursday,Clear,Residential Road,Low,Two-Wheeler,Fatal,1
482,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-16,09:36:00,Sunday,Rainy,Highway,Medium,Two-Wheeler,Minor,1
494,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-25,08:38:00,Thursday,Clear,Chowk/Intersection,Medium,Car,Minor,1
502,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-19,08:21:00,Monday,Stormy,Highway,Low,Two-Wheeler,Serious,2
505,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-10,08:07:00,Thursday,Clear,Residential Road,Low,Car,Serious,1
519,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-11,16:46:00,Tuesday,Rainy,Highway,Medium,Car,Serious,2
529,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-09-22,16:40:00,Sunday,Clear,Highway,Medium,Two-Wheeler,Minor,1
544,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-05-28,18:06:00,Sunday,Clear,Chowk/Intersection,High,Auto-Rickshaw,Minor,1
590,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-03-12,18:08:00,Wednesday,Clear,Chowk/Intersection,Medium,Car,Serious,1
599,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-04-22,06:29:00,Tuesday,Clear,Highway,High,Bus,Minor,0
638,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-10-25,08:40:00,Friday,Clear,Residential Road,High,Auto-Rickshaw,Minor,1
685,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-12-13,17:08:00,Friday,Clear,Residential Road,Medium,Car,Minor,0
883,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-06-29,08:42:00,Sunday,Clear,Main Road,Low,Two-Wheeler,Fatal,2
957,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-02,19:16:00,Thursday,Clear,Main Road,High,Auto-Rickshaw,Minor,1
967,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-04,19:21:00,Tuesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
1014,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-05,19:59:00,Friday,Clear,Main Road,High,Two-Wheeler,Minor,0
1027,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-04-19,07:57:00,Friday,Clear,Main Road,Medium,Car,Minor,0
1034,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-09-13,18:16:00,Monday,Clear,Main Road,High,Two-Wheeler,Serious,1
1035,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-01-27,19:44:00,Thursday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Serious,3
1126,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-17,18:04:00,Friday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
1134,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-13,16:31:00,Tuesday,Clear,Main Road,High,Car,Minor,0
1169,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-07-04,17:59:00,Thursday,Clear,Main Road,Low,Car,Minor,0
1175,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-18,18:20:00,Saturday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
1186,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-28,19:34:00,Wednesday,Clear,Highway,High,Truck,Fatal,1
1194,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-08-15,20:55:00,Monday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,1
1374,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-10-22,20:16:00,Wednesday,Foggy,Highway,High,Bus,Minor,0
1380,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-10-11,16:16:00,Saturday,Clear,Main Road,Medium,Two-Wheeler,Fatal,4
1392,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-13,18:46:00,Thursday,Rainy,Residential Road,Medium,Auto-Rickshaw,Serious,1
1409,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-18,09:46:00,Friday,Clear,Residential Road,High,Auto-Rickshaw,Minor,1
1430,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-01-11,07:35:00,Thursday,Clear,Main Road,Low,Car,Serious,3
1557,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-12-20,10:45:00,Saturday,Clear,Highway,Medium,Car,Minor,0
1609,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-16,17:50:00,Thursday,Clear,Main Road,Low,Two-Wheeler,Minor,0
1658,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-17,16:03:00,Saturday,Foggy,Main Road,Medium,Auto-Rickshaw,Minor,0
1722,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-06,20:09:00,Monday,Clear,Highway,High,Auto-Rickshaw,Serious,2
1739,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-06,18:26:00,Friday,Clear,Residential Road,Low,Truck,Serious,1
1808,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-27,19:34:00,Saturday,Stormy,Main Road,High,Two-Wheeler,Serious,2
1837,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-23,19:06:00,Thursday,Clear,Highway,Medium,Two-Wheeler,Serious,1
1875,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-07,16:37:00,Tuesday,Rainy,Main Road,Low,Two-Wheeler,Minor,0
1962,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-22,08:57:00,Friday,Clear,Main Road,Medium,Two-Wheeler,Fatal,1
1963,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-06,17:21:00,Saturday,Clear,Chowk/Intersection,High,Car,Serious,2
1979,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-06-16,16:06:00,Monday,Foggy,Residential Road,Low,Two-Wheeler,Fatal,2
2051,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-04-24,09:14:00,Thursday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
2113,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-11,18:07:00,Saturday,Rainy,Main Road,Medium,Car,Minor,0
2121,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-18,15:46:00,Tuesday,Clear,Main Road,High,Auto-Rickshaw,Serious,2
2123,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-19,09:19:00,Monday,Clear,Chowk/Intersection,Low,Car,Fatal,3
2127,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-28,08:39:00,Tuesday,Foggy,Highway,High,Two-Wheeler,Fatal,2
2154,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-07,18:52:00,Wednesday,Clear,Main Road,Low,Two-Wheeler,Serious,2
2222,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-08-04,09:45:00,Sunday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,1
2231,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-12-09,21:13:00,Monday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0
2331,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-25,10:27:00,Saturday,Foggy,Main Road,Medium,Car,Minor,0
2343,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-01-10,09:46:00,Tuesday,Clear,Highway,High,Two-Wheeler,Serious,2
2376,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-03-12,08:18:00,Wednesday,Foggy,Chowk/Intersection,High,Two-Wheeler,Minor,0
2427,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-14,17:26:00,Tuesday,Clear,Residential Road,High,Car,Serious,2
2517,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-10-18,10:58:00,Friday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0
