accident_id,location_id,location_name,latitude,longitude,accident_date,accident_time,day_of_week,weather_condition,road_type,traffic_density,vehicle_type,accident_severity,num_casualties,hour,is_weekend,time_of_day,is_rush_hour,month,year,is_adverse_weather
916,13,Bahu Bazar,23.3539142,85.3286816,2025-03-18,09:34:00,Tuesday,Clear,Highway,High,Two-Wheeler,Minor,1,9,False,Morning,True,3,2025,False
1758,13,Bahu Bazar,23.3539142,85.3286816,2021-11-18,09:17:00,Thursday,Clear,Main Road,Low,Two-Wheeler,Minor,1,9,False,Morning,True,11,2021,False
1970,13,Bahu Bazar,23.3539142,85.3286816,2023-04-23,06:47:00,Sunday,Clear,Main Road,Medium,Auto-Rickshaw,Minor,1,6,True,Morning,False,4,2023,False
2472,13,Bahu Bazar,23.3539142,85.3286816,2021-07-23,06:11:00,Friday,Clear,Highway,High,Two-Wheeler,Minor,0,6,False,Morning,False,7,2021,False
2633,13,Bahu Bazar,23.3539142,85.3286816,2023-02-18,18:51:00,Saturday,Clear,Highway,Low,Two-Wheeler,Minor,0,18,True,Evening,True,2,2023,False
3220,13,Bahu Bazar,23.3539142,85.3286816,2023-06-12,08:37:00,Monday,Clear,Main Road,Medium,Two-Wheeler,Minor,0,8,False,Morning,True,6,2023,False
3461,13,Bahu Bazar,23.3539142,85.3286816,2024-03-06,09:26:00,Wednesday,Clear,Highway,Low,Two-Wheeler,Minor,0,9,False,Morning,True,3,2024,False
3706,13,Bahu Bazar,23.3539142,85.3286816,2022-04-16,19:12:00,Saturday,Clear,Highway,Medium,Two-Wheeler,Minor,0,19,True,Evening,True,4,2022,False
3931,13,Bahu Bazar,23.3539142,85.3286816,2023-06-23,17:52:00,Friday,Clear,Main Road,Medium,Two-Wheeler,Minor,1,17,False,Evening,True,6,2023,False
4010,13,Bahu Bazar,23.3539142,85.3286816,2021-05-02,09:27:00,Sunday,Clear,Highway,Low,Two-Wheeler,Minor,1,9,True,Morning,True,5,2021,False
4478,13,Bahu Bazar,23.3539142,85.3286816,2025-02-08,09:32:00,Saturday,Clear,Main Road,Medium,Auto-Rickshaw,Minor,0,9,True,Morning,True,2,2025,False
4758,13,Bahu Bazar,23.3539142,85.3286816,2021-01-05,09:47:00,Tuesday,Clear,Main Road,Medium,Two-Wheeler,Minor,1,9,False,Morning,True,1,2021,False
5624,13,Bahu Bazar,23.3539142,85.3286816,2021-07-12,20:29:00,Monday,Clear,Main Road,Medium,Auto-Rickshaw,Minor,0,20,False,Evening,True,7,2021,False
5630,13,Bahu Bazar,23.3539142,85.3286816,2025-09-20,19:29:00,Saturday,Clear,Main Road,Medium,Two-Wheeler,Minor,0,19,True,Evening,True,9,2025,False
6242,13,Bahu Bazar,23.3539142,85.3286816,2023-10-14,16:48:00,Saturday,Clear,Main Road,Low,Two-Wheeler,Minor,0,16,True,Afternoon,False,10,2023,False
6321,13,Bahu Bazar,23.3539142,85.3286816,2023-01-08,08:02:00,Sunday,Clear,Main Road,Medium,Two-Wheeler,Minor,1,8,True,Morning,True,1,2023,False
6912,13,Bahu Bazar,23.3539142,85.3286816,2024-07-11,18:41:00,Thursday,Clear,Highway,Medium,Auto-Rickshaw,Minor,0,18,False,Evening,True,7,2024,False
7535,13,Bahu Bazar,23.3539142,85.3286816,2021-04-07,11:43:00,Wednesday,Clear,Highway,Low,Two-Wheeler,Minor,1,11,False,Morning,False,4,2021,False
